"gen","age","edu","emp","zone","count"
"femmina","(50,65]","laurea","inattivo","centro",0.000487894126974447
"femmina","(50,65]","laurea","inattivo","nord-est",0.000548880892846252
"femmina","(50,65]","laurea","inattivo","nord-ovest",0.000701347807525767
"femmina","(50,65]","laurea","inattivo","sud-isole",0.00143318899798744
"femmina","(50,65]","laurea","occupato","centro",0.00280539123010307
"femmina","(50,65]","laurea","occupato","nord-est",0.00179910959321827
"femmina","(50,65]","laurea","occupato","nord-ovest",0.00204305665670549
"femmina","(50,65]","laurea","occupato","sud-isole",0.00378117948405196
"femmina","(50,65]","nessuna / elementari / medie","disoccupato","centro",0.000457400744038544
"femmina","(50,65]","nessuna / elementari / medie","disoccupato","nord-est",0.000640361041653961
"femmina","(50,65]","nessuna / elementari / medie","disoccupato","nord-ovest",0.000518387509910349
"femmina","(50,65]","nessuna / elementari / medie","disoccupato","sud-isole",0.0010367750198207
"femmina","(50,65]","nessuna / elementari / medie","inattivo","centro",0.00439104714277002
"femmina","(50,65]","nessuna / elementari / medie","inattivo","nord-est",0.00493992803561627
"femmina","(50,65]","nessuna / elementari / medie","inattivo","nord-ovest",0.00463499420625724
"femmina","(50,65]","nessuna / elementari / medie","inattivo","sud-isole",0.0155211319143746
"femmina","(50,65]","nessuna / elementari / medie","occupato","centro",0.00204305665670549
"femmina","(50,65]","nessuna / elementari / medie","occupato","nord-est",0.00274440446423126
"femmina","(50,65]","nessuna / elementari / medie","occupato","nord-ovest",0.00384216624992377
"femmina","(50,65]","nessuna / elementari / medie","occupato","sud-isole",0.00356772580350064
"femmina","(50,65]","superiori","disoccupato","centro",0.000579374275782155
"femmina","(50,65]","superiori","disoccupato","nord-est",0.000457400744038544
"femmina","(50,65]","superiori","disoccupato","nord-ovest",0.000518387509910349
"femmina","(50,65]","superiori","disoccupato","sud-isole",0.000670854424589864
"femmina","(50,65]","superiori","inattivo","centro",0.00307983167652619
"femmina","(50,65]","superiori","inattivo","nord-est",0.00347624565469293
"femmina","(50,65]","superiori","inattivo","nord-ovest",0.00365920595230835
"femmina","(50,65]","superiori","inattivo","sud-isole",0.00637311703360371
"femmina","(50,65]","superiori","occupato","centro",0.0041775934622187
"femmina","(50,65]","superiori","occupato","nord-est",0.00561078246020614
"femmina","(50,65]","superiori","occupato","nord-ovest",0.00512288833323169
"femmina","(50,65]","superiori","occupato","sud-isole",0.00573275599194975
"femmina","(65,95]","laurea","disoccupato","nord-ovest",3.04933829359029e-05
"femmina","(65,95]","laurea","disoccupato","sud-isole",9.14801488077087e-05
"femmina","(65,95]","laurea","inattivo","centro",0.00246996401780814
"femmina","(65,95]","laurea","inattivo","nord-est",0.00192108312496188
"femmina","(65,95]","laurea","inattivo","nord-ovest",0.00219552357138501
"femmina","(65,95]","laurea","inattivo","sud-isole",0.00426907361102641
"femmina","(65,95]","laurea","occupato","centro",0.00021345368055132
"femmina","(65,95]","laurea","occupato","nord-est",0.000121973531743612
"femmina","(65,95]","laurea","occupato","nord-ovest",0.00021345368055132
"femmina","(65,95]","laurea","occupato","sud-isole",0.000579374275782155
"femmina","(65,95]","nessuna / elementari / medie","disoccupato","centro",0.000121973531743612
"femmina","(65,95]","nessuna / elementari / medie","disoccupato","nord-ovest",0.000304933829359029
"femmina","(65,95]","nessuna / elementari / medie","disoccupato","sud-isole",0.000670854424589864
"femmina","(65,95]","nessuna / elementari / medie","inattivo","centro",0.0237543453070684
"femmina","(65,95]","nessuna / elementari / medie","inattivo","nord-est",0.0268341769835946
"femmina","(65,95]","nessuna / elementari / medie","inattivo","nord-ovest",0.0294871012990181
"femmina","(65,95]","nessuna / elementari / medie","inattivo","sud-isole",0.0529670061596634
"femmina","(65,95]","nessuna / elementari / medie","occupato","centro",0.000304933829359029
"femmina","(65,95]","nessuna / elementari / medie","occupato","nord-est",0.000182960297615417
"femmina","(65,95]","nessuna / elementari / medie","occupato","nord-ovest",0.000396413978166738
"femmina","(65,95]","nessuna / elementari / medie","occupato","sud-isole",0.000762334573397573
"femmina","(65,95]","superiori","disoccupato","centro",3.04933829359029e-05
"femmina","(65,95]","superiori","disoccupato","nord-ovest",0.000182960297615417
"femmina","(65,95]","superiori","disoccupato","sud-isole",0.000304933829359029
"femmina","(65,95]","superiori","inattivo","centro",0.00579374275782155
"femmina","(65,95]","superiori","inattivo","nord-est",0.00680002439470635
"femmina","(65,95]","superiori","inattivo","nord-ovest",0.00805025309507837
"femmina","(65,95]","superiori","inattivo","sud-isole",0.00917850826370678
"femmina","(65,95]","superiori","occupato","centro",0.000243947063487223
"femmina","(65,95]","superiori","occupato","nord-est",0.00021345368055132
"femmina","(65,95]","superiori","occupato","nord-ovest",0.000121973531743612
"femmina","(65,95]","superiori","occupato","sud-isole",0.000548880892846252
"maschio","(20,30]","laurea","disoccupato","centro",0.000640361041653961
"maschio","(20,30]","laurea","disoccupato","nord-est",0.000335427212294932
