"gen","zone","age","emp","edu","pastvote","nowvote"
"maschio","sud-isole","(50,65]","occupato","superiori","CDX","altri"
"femmina","nord-ovest","(65,95]","inattivo","superiori","M5S","CDX"
"femmina","centro","(65,95]","inattivo","superiori","M5S","M5S"
"femmina","nord-est","(50,65]","occupato","laurea","CSX","CSX"
"maschio","nord-est","(65,95]","inattivo","superiori","CSX","CSX"
"femmina","nord-est","(65,95]","inattivo","superiori","M5S","M5S"
"femmina","sud-isole","(50,65]","inattivo","laurea","M5S","M5S"
"maschio","centro","(65,95]","inattivo","laurea","CSX","CSX"
"maschio","nord-ovest","(65,95]","inattivo","laurea","M5S","M5S"
"femmina","nord-ovest","(50,65]","occupato","superiori","CSX","CSX"
"maschio","centro","(65,95]","inattivo","laurea","CSX","CSX"
"femmina","centro","(65,95]","inattivo","laurea","M5S","M5S"
"maschio","sud-isole","(65,95]","inattivo","superiori","CSX","CSX"
"femmina","centro","(65,95]","inattivo","laurea","CSX","CSX"
"femmina","centro","(65,95]","inattivo","superiori","CSX","CSX"
"femmina","centro","(65,95]","inattivo","laurea","altri","M5S"
"maschio","nord-est","(50,65]","occupato","superiori","altri","altri"
"maschio","sud-isole","(65,95]","inattivo","laurea","altri","CDX"
"femmina","centro","(65,95]","inattivo","superiori","CSX","CSX"
"maschio","centro","(50,65]","occupato","superiori","CSX","CSX"
"femmina","centro","(50,65]","inattivo","superiori","CSX","Az"
"maschio","nord-est","(50,65]","occupato","superiori","M5S","M5S"
"femmina","nord-est","(65,95]","inattivo","laurea","CSX","CSX"
"femmina","nord-ovest","(65,95]","inattivo","superiori","M5S","M5S"
"femmina","nord-ovest","(50,65]","inattivo","superiori","M5S","M5S"
"maschio","nord-est","(65,95]","occupato","superiori","CDX","CDX"
"maschio","nord-ovest","(65,95]","inattivo","superiori","CSX","CSX"
"femmina","nord-est","(65,95]","occupato","superiori","CDX","CDX"
"femmina","nord-ovest","(50,65]","occupato","laurea","M5S","Az"
"maschio","centro","(65,95]","inattivo","superiori","CSX","CSX"
"femmina","nord-ovest","(50,65]","occupato","laurea","CSX","CSX"
"maschio","nord-est","(40,50]","occupato","laurea","altri","altri"
"maschio","centro","(40,50]","occupato","superiori","CDX","CDX"
